match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
SWZ_SuperLeague_274844_646_4422_2023-05-29,646,4422,SWZ_SuperLeague,2.28,3.56,7.54,4,0
SWZ_SuperLeague_274845_647_653_2023-05-29,647,653,SWZ_SuperLeague,1.98,4.35,5.96,2,1
SWZ_SuperLeague_274846_645_650_2023-05-29,645,650,SWZ_SuperLeague,6.83,4.33,2.17,2,3
SWZ_SuperLeague_274841_653_645_2023-05-25,653,645,SWZ_SuperLeague,5.44,3.59,1.93,0,2
SWZ_SuperLeague_274813_644_653_2023-04-27,644,653,SWZ_SuperLeague,2.48,4.09,7.32,3,1
SWZ_SuperLeague_273654_644_647_2017-02-12,644,647,SWZ_SuperLeague,1.97,3.68,5.78,4,1
SWZ_SuperLeague_273655_4422_1951_2017-02-12,4422,1951,SWZ_SuperLeague,2.06,3.87,7.02,4,2
SWZ_SuperLeague_273656_646_641_2017-02-12,646,641,SWZ_SuperLeague,2.06,3.85,5.31,2,1
SWZ_SuperLeague_273657_650_642_2017-02-11,650,642,SWZ_SuperLeague,1.77,4.18,5.84,3,0
SWZ_SuperLeague_273658_640_639_2017-02-11,640,639,SWZ_SuperLeague,5.94,4.28,1.65,0,2
SWZ_SuperLeague_273659_647_4422_2017-02-05,647,4422,SWZ_SuperLeague,2.24,3.73,7.31,3,1
SWZ_SuperLeague_273660_1951_646_2017-02-05,1951,646,SWZ_SuperLeague,2.77,2.97,3.04,1,1
SWZ_SuperLeague_273661_641_644_2017-02-05,641,644,SWZ_SuperLeague,3.23,3.01,2.87,4,4
SWZ_SuperLeague_273662_639_650_2017-02-04,639,650,SWZ_SuperLeague,2.46,4.13,5.32,4,0
SWZ_SuperLeague_273663_642_640_2017-02-04,642,640,SWZ_SuperLeague,6.77,4.27,2.1,0,1
SWZ_SuperLeague_273674_4422_639_2017-03-12,4422,639,SWZ_SuperLeague,6.27,4.03,1.62,0,1
SWZ_SuperLeague_273675_640_650_2017-03-12,640,650,SWZ_SuperLeague,1.89,4.06,5.7,5,2
SWZ_SuperLeague_273676_641_647_2017-03-12,641,647,SWZ_SuperLeague,2.62,3.12,3.32,0,0
SWZ_SuperLeague_273677_646_644_2017-03-11,646,644,SWZ_SuperLeague,2.7,3.06,3.35,1,1
SWZ_SuperLeague_273678_642_1951_2017-03-11,642,1951,SWZ_SuperLeague,7.52,4.08,2.46,1,2
SWZ_SuperLeague_273679_644_642_2017-03-05,644,642,SWZ_SuperLeague,2.61,3.16,3.43,1,1
SWZ_SuperLeague_273680_4422_646_2017-03-05,4422,646,SWZ_SuperLeague,6.81,3.99,1.8,1,2
SWZ_SuperLeague_273681_1951_639_2017-03-05,1951,639,SWZ_SuperLeague,2.8,2.82,3.47,1,1
SWZ_SuperLeague_273682_647_640_2017-03-04,647,640,SWZ_SuperLeague,1.67,3.68,7.84,3,2
SWZ_SuperLeague_273683_650_641_2017-03-04,650,641,SWZ_SuperLeague,1.75,4.28,5.93,2,1
SWZ_SuperLeague_273684_646_650_2017-02-26,646,650,SWZ_SuperLeague,6.53,4.23,2.39,0,1
